Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
59818,35.030855,-118.293188,-99999,-99999,150,150
59819,35.026683,-118.234811,-99999,-99999,150,150
59820,33.493056,-98.581944,-99999,-99999,150,150
59821,33.205801,-98.365069,-99999,-99999,150,150
59822,31.383333,-98.466667,-99999,-99999,150,150
59823,35.205278,-101.434167,-99999,-99999,150,150
59824,34.446111,-97.269722,-99999,-99999,150,150
59828,48.964722,-99.613889,-99999,-99999,150,150
59831,40.620556,-87.378056,-99999,-99999,150,150
59832,33.628222,-99.411169,-99999,-99999,150,150
59833,33.645964,-99.532944,-99999,-99999,150,150
59834,34.432267,-101.237233,-99999,-99999,150,150
59835,37.1146,-97.2376,-99999,-99999,150,150
59837,39.334,-102.173,-99999,-99999,150,150
59785,31.951944,-100.791389,-99999,-99999,149.6,149.6
59784,48.4968,-99.9513,-99999,-99999,149,149
59782,43.6848,-94.8799,-99999,-99999,148.8,148.8
59783,35.135556,-99.003056,-99999,-99999,148.8,148.8
59779,37.8641,-99.7528,-99999,-99999,148.5,148.5
59780,47.1294,-97.8853,-99999,-99999,148.5,148.5
59781,38.892653,-98.168876,-99999,-99999,148.5,148.5
59778,46.058056,-68.147222,-99999,-99999,148,148
59777,30.772575,-102.505808,-99999,-99999,147.5,147.5
59776,35.5094,-98.7346,-99999,-99999,147,147
59775,40.575,-95.5228,-99999,-99999,146,146
59774,41.2874,-110.5556,-99999,-99999,144,144
59772,41.420556,-76.049167,-99999,-99999,142.6,142.6
59771,32.100823,-101.451385,-99999,-99999,142.5,142.5
59770,42.390833,-92.966667,-99999,-99999,140.8,140.8
59769,34.891389,-118.4325,-99999,-99999,140,140
59768,39.760556,-78.874722,-99999,-99999,139.4,139.4
59765,43.0181,-105.835278,-99999,-99999,138,138
59766,35.06,-118.2,-99999,-99999,138,138
59763,45.8797,-120.8072,-99999,-99999,136.3,136.3
59762,34.29,-99.364722,-99999,-99999,135.4,135.4
59759,32.290833,-100.4219,-99999,-99999,135,135
59760,46.5725,-109.7531,-99999,-99999,135,135
59761,35.248006,-118.175356,-99999,-99999,135,135
59749,35.529778,-99.814456,-99999,-99999,132,132
59750,45.3853,-70.5258,-99999,-99999,132,132
59751,35.026759,-118.223333,-99999,-99999,132,132
59748,37.90133,-100.372,-99999,-99999,131,131
59746,32.7204,-100.9952,-99999,-99999,130.5,130.5
59747,40.695,-87.4886,-99999,-99999,130.5,130.5
59744,35.855556,-98.968333,-99999,-99999,130,130
59743,43.6161,-88.4969,-99999,-99999,129,129
59741,32.3983,-100.6481,-99999,-99999,126.5,126.5
59738,42.6697,-78.2278,-99999,-99999,126,126
59735,43.467057,-111.836381,-99999,-99999,124.5,124.5
59734,32.039,-101.22,-99999,-99999,124.2,124.2
59733,35.535,-99.3828,-99999,-99999,123,123
59732,46.01279,-118.816246,-99999,-99999,122.8,122.8
59731,32.1408,-101.3986,-99999,-99999,121.9,121.9
59730,32.311556,-100.061589,-99999,-99999,120.6,120.6
59719,33.9716,-103.8604,-99999,-99999,120,120
59722,36.637733,-99.601869,-99999,-99999,120,120
59723,32.2353,-101.8367,-99999,-99999,120,120
59724,32.718056,-100.793333,-99999,-99999,120,120
59725,47.292437,-97.931692,-99999,-99999,120,120
59727,33.06797,-98.337652,-99999,-99999,120,120
59728,35.054167,-118.354722,-99999,-99999,120,120
59729,43.525278,-83.65,-99999,-99999,120,120
59715,41.883333,-92.933333,-99999,-99999,119.6,119.6
