description,name,Plant_Code,sector_nam,PrimSource,Total_MW,Coal_MW,NG_MW,Crude_MW,Bio_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Geo_MW,Other_MW,source_des,tech_desc,Source,Period,geometry
,wind,58457,IPP Non-CHP,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.57,41.338889,0.0</coordinates></Point>"
,wind,56860,IPP Non-CHP,wind,14.7,0,0,0,,0,0,0,0,14.7,,,Wind = 14.7 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.365,42.0822,0.0</coordinates></Point>"
,wind,58460,IPP Non-CHP,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.488056,41.29,0.0</coordinates></Point>"
,solar,56862,IPP Non-CHP,solar,1.2,0,0,0,,0,0,0,1.2,0,,,Solar = 1.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-117.6933,34.5644,0.0</coordinates></Point>"
,wind,58459,IPP Non-CHP,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.445833,41.39,0.0</coordinates></Point>"
,solar,58462,IPP Non-CHP,solar,210,0,0,0,,0,0,0,210,0,,,Solar = 210 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-114.739722,33.694722,0.0</coordinates></Point>"
,wind,58461,IPP Non-CHP,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.876389,41.391944,0.0</coordinates></Point>"
,wind,58464,IPP Non-CHP,wind,9.9,0,0,0,,0,0,0,0,9.9,,,Wind = 9.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-103.325,34.746944,0.0</coordinates></Point>"
,solar,58463,Electric Utility,solar,5.5,0,0,0,,0,0,0,5.5,0,,,Solar = 5.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-76.799444,38.545556,0.0</coordinates></Point>"
,wind,58456,IPP Non-CHP,wind,1.6,0,0,0,,0,0,0,0,1.6,,,Wind = 1.6 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-94.434722,41.226944,0.0</coordinates></Point>"
,wind,56857,IPP Non-CHP,wind,215,0,0,0,,0,0,0,0,215,,,Wind = 215 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-73.929722,44.975833,0.0</coordinates></Point>"
,wind,56855,IPP Non-CHP,wind,102.9,0,0,0,,0,0,0,0,102.9,,,Wind = 102.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-120.2008,45.7167,0.0</coordinates></Point>"
,wind,56856,IPP Non-CHP,wind,100.5,0,0,0,,0,0,0,0,100.5,,,Wind = 100.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-89.4022,40.3692,0.0</coordinates></Point>"
,solar,58454,IPP Non-CHP,solar,2,0,0,0,,0,0,0,2,0,,,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-117.642222,34.600833,0.0</coordinates></Point>"
,wind,56874,IPP Non-CHP,wind,150,0,0,0,,0,0,0,0,150,,,Wind = 150 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-121.8461,38.1711,0.0</coordinates></Point>"
,solar,58473,Electric Utility,solar,3.9,0,0,0,,0,0,0,3.9,0,,,Solar = 3.9 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-75.400542,38.663992,0.0</coordinates></Point>"
,solar,56875,IPP Non-CHP,solar,1,0,0,0,,0,0,0,1,0,,,Solar = 1 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-121.16469,38.44979,0.0</coordinates></Point>"
,wind,56876,IPP Non-CHP,wind,100.5,0,0,0,,0,0,0,0,100.5,,,Wind = 100.5 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-92.6822,43.8006,0.0</coordinates></Point>"
,solar,56877,IPP Non-CHP,solar,1.5,0,0,0,,0,0,0,1.5,0,,,Solar = 1.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-74.394414,40.573708,0.0</coordinates></Point>"
,wind,58474,IPP Non-CHP,wind,249.8,0,0,0,,0,0,0,0,249.8,,,Wind = 249.8 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-101.076111,37.620833,0.0</coordinates></Point>"
,wind,56878,IPP Non-CHP,wind,106,0,0,0,,0,0,0,0,106,,,Wind = 106 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-87.2631,40.7178,0.0</coordinates></Point>"
,wind,56879,IPP Non-CHP,wind,50,0,0,0,,0,0,0,0,50,,,Wind = 50 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-98.4583,37.3764,0.0</coordinates></Point>"
,wind,58465,IPP Non-CHP,wind,9.9,0,0,0,,0,0,0,0,9.9,,,Wind = 9.9 MW,Onshore Wind Turbine,"EIA-860, EIA-860M and EIA-923",201603,"<Point><coordinates>-103.305,34.728056,0.0</coordinates></Point>"
