Plant_Code,Latitude,Longitude,Geo_MW,Solar_MW,Wind_MW,Powerplant_MW
298,33.1361,-117.3364,-99999,-99999,-99999,-99999
299,32.834,-117.1338,-99999,-99999,-99999,-99999
301,32.8761,-117.1664,-99999,-99999,-99999,-99999
302,56.986284,-135.12275,-99999,-99999,-99999,-99999
303,32.673097,-115.392026,-99999,-99999,-99999,-99999
305,33.7688,-118.1009,-99999,-99999,-99999,-99999
313,34.0969,-118.4795,-99999,-99999,-99999,-99999
314,37.2042,-119.2396,-99999,-99999,-99999,-99999
315,37.2,-119.3069,-99999,-99999,-99999,-99999
316,37.148517,-119.386623,-99999,-99999,-99999,-99999
317,37.139,-119.4898,-99999,-99999,-99999,-99999
318,37.2096,-119.3289,-99999,-99999,-99999,-99999
319,37.200062,-119.30681,-99999,-99999,-99999,-99999
320,37.273581,-118.573339,-99999,-99999,-99999,-99999
321,37.301962,-118.531957,-99999,-99999,-99999,-99999
322,37.323035,-118.501714,-99999,-99999,-99999,-99999
323,37.3344,-118.4797,-99999,-99999,-99999,-99999
324,37.3499,-118.4628,-99999,-99999,-99999,-99999
325,35.588069,-118.524804,-99999,-99999,-99999,-99999
326,34.09118,-117.52663,-99999,-99999,-99999,-99999
327,34.155162,-117.397119,-99999,-99999,-99999,-99999
328,33.6439,-117.9792,-99999,-99999,-99999,-99999
331,36.461326,-118.87988,-99999,-99999,-99999,-99999
332,36.465066,-118.862023,-99999,-99999,-99999,-99999
335,36.486059,-118.835645,-99999,-99999,-99999,-99999
336,35.776185,-118.436233,-99999,-99999,-99999,-99999
337,35.460303,-118.77959,-99999,-99999,-99999,-99999
338,33.7641,-118.2248,-99999,-99999,-99999,-99999
339,38.042729,-119.172015,-99999,-99999,-99999,-99999
340,37.220302,-119.337983,-99999,-99999,-99999,-99999
341,34.2067,-119.2511,-99999,-99999,-99999,-99999
342,34.1292,-119.1689,-99999,-99999,-99999,-99999
344,37.944237,-119.2161,-99999,-99999,-99999,-99999
345,37.257045,-119.158936,-99999,-99999,-99999,-99999
350,33.8504,-118.395,-99999,-99999,-99999,-99999
353,37.766954,-119.123284,-99999,-99999,-99999,-99999
